 news.128.t:0 "La caída de Berlín"
 political.12.d:0 "\\'[Root.GetLeader] os hará creer que [Root.GetName] está seguro y unido. ¡No es de sorprender esas mentiras han envenenado las mentes de nuestro pueblo, cuando una serpiente está enrollada al lado! No tenéis más que mirar al otro lado de la frontera para ver paisanos matándose entre sí en nombre del comunismo, que proclama el fin de las naciones. ¿Cuánto tiempo hasta que declaren también muerta a nuestra nación? ¿[Root.GetRulingParty] nos protegerá de esta amenaza?\\'\n\nEl crecimiento del movimiento fascista en [Root.GetName] ha sido reforzado por la proximidad de la revolución comunista. Muchos moderados que normalmente podrían rechazarían al fascismo como otro experimento ideológico equivocado encuentran este otra preocupación muy real para ellos. En la elección entre el comunismo de nuestros vecinos y un régimen fascista, es cierto que prefieren este último. Incluso podría estar dispuestos a apoyarlo activamente."
 political.12.a:0 "¡Estaremos a la vanguardia contra la amenaza roja!"
 political.13.t:0 "Avanzar hacia la democracia"
 political.13.d:0 "\\'Si hacemos callar las voces del pueblo, ¿cómo cualquiera de nosotros puede pretender que somos  la voz de [Root.GetName]? Si tenemos miedo a la disidencia, si tememos ser públicamente denunciado o destituido por el voto del público, lo que realmente tememos es el hecho de ser odiados y denostados por los propios ciudadanos .¿De verdad el [Root.GetRulingParty] realmente tiene tan poca confianza en sus principios?\\'\n\nUna facción cuidadosa y vagamente organizada, pero apasionada del gobierno ha comenzado a impulsar políticas menos represivas contra los enemigos del estado. Quieren que el público se involucre en la toma de decisiones a través de referéndums y reuniones locales del partido, incluso si esto significa arriesgar el futuro de la agenda actual."
 political.13.a:0 "Podemos discutir esto internamente para empezar."
 political.13.a.tt:0 "Aumenta las posibilidades de apoyo interno para organizar unas elecciones. "
 political.13.b:0 "Sabiendo que tenemos razón, podemos permitir que nuestros enemigos hablen más abiertamente. "
 political.13.b.tt:0 "Aumenta la probabilidad de personas expresando apoyo a la democracia y la formación de una oposición. "
 political.14.t:0 "[Root.GetRulingParty] debate la democracia"
 political.14.d:0 "Sorprendentemente, la convocatoria de más referéndums y menos medidas represivas contra los opositores del régimen ha recibido algún apoyo en las discusiones internas del partido. Mientras que la dirección [Root.GetRulingParty] permanece escéptica, varios miembros influyentes han apoyado un cambio.\n\nTal vez confían en que poco cambiará en la práctica, o quizás secretamente son traidores a la causa del partido. como les gustaría a muchos de sus oponentes. Dando eso por igual, si el público llaman para que se produzcan esos cambios, , algunos de los líderes de [Root.GetName] están listos para comprometerse. "
 political.14.a:0 "La elección no puede siempre entre libertad y muerte. "
 political.14.a.tt:0 "El gobierno podría organizar elecciones cuando esta política tenga un apoyo mayoritario."
 political.15.t:0 "Se forma una oposición democrática."
 political.15.d:0 "Relajar las restricciones sobre qué tipo de propaganda anti-[Root.GetRulingParty] se puede propagar públicamente, como era de esperar, llevar a un aumento de expresiones públicas de disidencia. Folletos y manifestaciones organizadas hasta el momento se encuentran principalmente en instituciones académicas y algunas de las zonas más desafortunadas de [Root.GetName], pero no hay duda de que el movimiento se está extendiendo.\n\nLos líderes nacionales están partidos sobre el tema. [Root.GetLeader], que mantiene un férreo control sobre la dirección del partido, tiene poco deseo de diversificar el debate público. Sin embargo, los primeros pasos ya han sido tomados y puede que no haya vuelta atrás."
 political.15.a:0 "El movimiento parece crecer naturalmente en ausencia de represión. "
 political.16.t:0 "Convocatoria pública de elecciones"
 political.16.d:0 "Las manifestaciones de disidencia pública que una vez fueron confinadas a áreas limitadas ahora son frecuentes. Con la gente reuniéndose en las calles, [Root.GetRulingParty] se encuentra en una encrucijada. Si seguimos permitiendo que se difunda esta propaganda, los referendos sugeridos tanto dentro del propio partido como de la oposición muestran que no tenemos el apoyo del público. La unidad por la que tanto hemos luchado está dando paso a una pluralidad de opiniones, unidas contra nosotros. "
 political.16.a:0 "Incluso aunque se produzca la reforma, debemos mostrar nuestra fuerza suprimiendo este desafío. "
 political.16.b:0 "Que se oiga al pueblo."
 political.17.t:0 "Elección pública en [Root.GetName]"
 political.17.d:0 "Según se van a aceptando más en [Root.GetName] la libertad de expresión y reunión, la facción en el [Root.GetRulingParty] que pide convocar elecciones ha pasado de conspiradores secretos a reformadores apoyados públicamente. A pesar de las protestas de [Root.GetLeader], el país ha estado haciendo un lento pero constante avance hacia la democracia durante los últimos meses y ahora unas elecciones parecen ser el siguiente paso natural.\n\nSin embargo, no todos los ciudadanos [Root.GetAdjective], ni mucho menos, están a favor de reformas democráticas. Todavía hay debate dentro del partido sobre si las elecciones deben esperar hasta que podemos asegurar un desarrollo estable. "
 political.17.a:0 "Los leales al [Root.GetRulingParty] apoyarán la decisión ahora."
 political.17.b:0 "Las reformas necesitan un soporte más amplio antes que se puedan celebrar elecciones."
 political.18.t:0 "Fascistas exigen referéndum"
 political.18.d:1 "El creciente movimiento fascista [Root.GetAdjective] nunca ha afirmado que necesiten apoyo de la mayoría antes que hacerse con el poder, contando con unir la nación bajo su liderazgo una vez establecida su gobierno. Sin embargo, parece que su apoyo ha crecido rápidamente. Muchos fascistas ahora llaman a [Root.GetLeader] un hipócrita, que dice representar a los deseos del pueblo pero haciendo oídos sordos a las masas que quieren poner a [Root.GetName] en el camino hacia la gloria.\n\nLa petición de un referéndum ha sido rechazada hasta ahora por los miembros del [Root.GetRulingParty] como el típico intentos de interrumpir el sistema, pero al menos es una medida política. Si no actuamos ahora, los fascistas pueden elegir la lucha violenta como el mejor camino al poder. "
 political.18.a:0 "¡Reprime este odioso movimiento!"
 political.18.b:0 "No hay que hacerles caso."
 political.18.c:0 "Si el pueblo lo quiere, vamos celebrar el referéndum. "
 political.19.d:0 "Ideas marxistas arraigaron hace tiempo en [Root.GetName] pero han ganado un apoyo más popular últimamente. El movimiento ha extendido de las teorías políticas a la práctica política, con los trabajadores descontentos e incluso algunas celebridades de alto perfil expresando su apoyo. Los comunistas llaman a esto conciencia de clase. El [Root.GetRulingParty] llaman una vía rápida para disturbios y traición.\n\nMostrando poca fe en que [Root.GetLeader] esté dispuesto a aplicar las reformas que demandan, los comunistas más vocales han exigido un referéndum inmediato para retirar al actual gobierno. Aunque podríamos ser capaces de revertir el ímpetu de este movimiento de masas, el fracaso en hacerlo resultará sin duda en el método comunista más popular de expulsión: revolución. "
 political.19.a:0 "¡Las actividades anti-[Root.GetAdjective] deben ser detenidas!"
 political.19.b:0 "Ni caso, sólo están causando problemas. "
 political.19.c:0 "El referéndum es preferible a una rebelión sangrienta."
 political.20.t:0 "Los demócratas exigen referéndum"
 political.20.d:0 "Lógicamente, es muy fácil que la idea del pueblo gobernando la nación que habita puede hacerse volverse muy popular entre el pueblo. El [Root.GetRulingParty], por supuesto, ve la idea de la democracia representada en estos movimientos -libertad de expresión, elecciones públicas, prensa libre - mera retórica populista que pretende debilitar el gobierno de [Root.GetLeader].\n\nSin embargo, es innegable esas ideas se han afianzado en la población [Root.GetAdjective]. Del modo más democrático piden un referéndum público para cambiar el régimen actual. Aunque en la actualidad es fácil de hacer caso omiso, estas ideas pueden volverse muy persistentes. ¿Qué será de nosotros si hacemos la revolución pacífica imposible?"
 political.20.a:0 "Haz una redada."
 political.20.b:0 "Sigamos como de costumbre. "
 political.20.c:0 "Si aceptamos el referéndum, tal vez podemos preservar nuestro legado. "
 political.21.t:0 "Fascistas marchan sobre [Root.Capital.GetName]"
 political.21.d:0 "Habiendo sido rechazado su referéndum, casi un intento simbólico de tomar el poder legalmente, los fascistas han utilizado un apoyo público importante y sus conexiones en el ejército [Root.GetAdjective] para intentar un golpe de estado. El gobierno de [Root.GetRulingParty] ha rechazado sus condiciones y afirma que luchará hasta el final para preservar [Root.GetName], tal como la conocemos. "
 political.21.a:0 "¡Los pararemos a cualquier coste!"
 political.21.b:0 "Los fascistas llevan el verdadero espíritu de [Root.GetName]!"
 political.22.t:0 "Los comunistas se levantan"
 political.22.d:0 "Después de negarse su petición de un referéndum, los pocos reformistas del movimiento comunista de [Root.GetName] rápidamente perdieron influencia frente a los elementos más radicales. Con el [Root.GetRulingParty] negando reconocer el apoyo público de las reformas sugeridas, la visión romántica de la revolución se hizo poco a poco creció mayor y los líderes del movimiento se volvieron más proclives a iniciar una revuelta. Los disturbios han estallado en una guerra civil a gran escala, con el futuro de la nación en juego. "
 political.22.a:0 "¡No les permitiremos arruinar nuestro país!"
 political.22.b:0 "¡El fuego de la revolución debe ser extinguido con la sangre de los opresores!"
 political.23.t:0 "La primavera [Root.GetAdjective]"
 political.23.d:0 "Después de su propuesta de  un referéndum público para instituir la democracia fuese rechazado, las personas tras la propuesta han rechazado el régimen [Root.GetLeader] como incorregible. Una amplia coalición de grupos rebeldes, unidos en su objetivo común de crear sistemas políticos más representativos en [Root.GetName], han tomado las armas y anunciado que no descansarán hasta que sea derrocado el [Root.GetRulingParty]. "
 political.23.a:0 "¡Ahorrémonos este gobierno del populacho!"
 political.23.b:0 "¡Por fin, [Root.GetName] es libre!"
 political.24.t:0 "Fascistas ridiculizados"
 political.24.d:0 "El encaprichamiento del pueblo [Root.GetAdjective] con el orgullo nacionalista y los intentos de revivir las glorias de antaño parece haber pasado. Un duro despertar para sus fervientes seguidores, cuyos uniformes, paramilitarismo y discursos excesivos son ahora más comúnmente sujeto de burlas que de simpatías.\n\nUna vez considerado una amenaza para la base de poder del [Root.GetRulingParty], el fascismo [Root.GetAdjective] ahora se ve cada vez más como una posición extremista absurda, un ataque a los valores más fundamentales de nuestra nación, a la que afirman apreciar tanto. La palabra "fascista" parece más adecuada como insulto que como designación política. "
 political.24.a:0 "Qué grupo de payasos. "
 political.25.t:0 "La manía comunista se calma"
 political.25.d:0 "Muchos comunistas habían predicho que [Root.GetName] iba a ser la próxima nación que bajar a la llamada Revolución internacional, pero después de algunos meses de huelgas y banderas rojas en las calles, el movimiento parece haber muerto. La clase obrera, la fuerza impulsora supuesta de la revolución, tiene preocupaciones más apremiantes que el derrocamiento [Root.GetLeader] y parecen decididamente no impresionados por cómo bien estas revoluciones han llevado a su fin en otra parte. Mientras tanto, los intelectuales que escribieron apasionadas llamadas para cortar las gargantas de los opresores han resultado de ser sorprendentemente reacios a cualquier cosa que realmente podrían interferir en su estilo de vida cómoda.\n\nLa conversación de la revolución seguirá probablemente, Si con baratos cervezas o vinos caros, pero es muy probable que se hable y nada más. "
